T,M,Time
1,1,0.004888
1,10,0.078978
1,20,0.062331
1,30,0.139369
1,40,0.153898
1,50,0.100228
1,100,0.037854
10,1,0.124053
10,10,0.013362
10,20,0.104689
10,30,0.005106
10,40,0.008117
10,50,0.079492
10,100,3.021593
20,1,0.098615
20,10,0.085451
20,20,0.029015
20,30,0.022077
20,40,0.021864
20,50,0.076363
20,100,1.671820
